Economy,Year,SteelConsumption
18_CT,2013,22285000.0
19_THA,2013,20732000.0
20_USA,2013,106300000.0
21_VN,2013,13685000.0
01_AUS,2014,7142000.0
02_BD,2014,-1.0
03_CDA,2014,17527000.0
04_CHL,2014,3031000.0
05_PRC,2014,739980000.0
06_HKC,2014,2727000.0
07_INA,2014,15483000.0
08_JPN,2014,72900000.0
09_ROK,2014,57834000.0
10_MAS,2014,11720000.0
11_MEX,2014,26073000.0
12_NZ,2014,1140000.0
13_PNG,2014,-1.0
14_PE,2014,3392000.0
15_RP,2014,8517000.0
16_RUS,2014,49423000.0
17_SIN,2014,4791000.0
18_CT,2014,23469000.0
19_THA,2014,20544000.0
20_USA,2014,121600000.0
21_VN,2014,16226000.0
01_AUS,2015,6968000.0
02_BD,2015,-1.0
03_CDA,2015,14827000.0
04_CHL,2015,3215000.0
05_PRC,2015,700351000.0
06_HKC,2015,3773000.0
07_INA,2015,13656000.0
08_JPN,2015,67800000.0
09_ROK,2015,58125000.0
10_MAS,2015,11629000.0
11_MEX,2015,27707000.0
12_NZ,2015,1067000.0
13_PNG,2015,-1.0
14_PE,2015,4084000.0
15_RP,2015,10186000.0
16_RUS,2015,44746000.0
17_SIN,2015,5019000.0
18_CT,2015,21032000.0
19_THA,2015,19403000.0
20_USA,2015,108333000.0
21_VN,2015,20510000.0
01_AUS,2016,6478000.0
02_BD,2016,-1.0
03_CDA,2016,16717000.0
04_CHL,2016,3172000.0
05_PRC,2016,708637000.0
06_HKC,2016,3231000.0
07_INA,2016,15214000.0
08_JPN,2016,67500000.0
09_ROK,2016,59520000.0
10_MAS,2016,11925000.0
11_MEX,2016,28421000.0
12_NZ,2016,999000.0
13_PNG,2016,-1.0
14_PE,2016,3820000.0
15_RP,2016,11253000.0
16_RUS,2016,43424000.0
17_SIN,2016,3540000.0
18_CT,2016,21932000.0
19_THA,2016,22340000.0
20_USA,2016,102570000.0
21_VN,2016,25088000.0
01_AUS,2017,
02_BD,2017,
03_CDA,2017,
04_CHL,2017,
05_PRC,2017,
06_HKC,2017,
07_INA,2017,
08_JPN,2017,
09_ROK,2017,
10_MAS,2017,
11_MEX,2017,
12_NZ,2017,
13_PNG,2017,
14_PE,2017,
15_RP,2017,
16_RUS,2017,
17_SIN,2017,
18_CT,2017,
19_THA,2017,
20_USA,2017,
21_VN,2017,
01_AUS,2018,
02_BD,2018,
03_CDA,2018,
04_CHL,2018,
05_PRC,2018,
06_HKC,2018,
07_INA,2018,
08_JPN,2018,
09_ROK,2018,
10_MAS,2018,
11_MEX,2018,
12_NZ,2018,
13_PNG,2018,
14_PE,2018,
15_RP,2018,
16_RUS,2018,
17_SIN,2018,
18_CT,2018,
19_THA,2018,
20_USA,2018,
21_VN,2018,
01_AUS,2019,
02_BD,2019,
03_CDA,2019,
04_CHL,2019,
05_PRC,2019,
06_HKC,2019,
07_INA,2019,
08_JPN,2019,
09_ROK,2019,
10_MAS,2019,
11_MEX,2019,
12_NZ,2019,
13_PNG,2019,
14_PE,2019,
15_RP,2019,
16_RUS,2019,
17_SIN,2019,
18_CT,2019,
19_THA,2019,
20_USA,2019,
21_VN,2019,
01_AUS,2020,
02_BD,2020,
03_CDA,2020,
04_CHL,2020,
05_PRC,2020,
06_HKC,2020,
07_INA,2020,
08_JPN,2020,
09_ROK,2020,
10_MAS,2020,
11_MEX,2020,
12_NZ,2020,
13_PNG,2020,
14_PE,2020,
15_RP,2020,
16_RUS,2020,
17_SIN,2020,
18_CT,2020,
19_THA,2020,
20_USA,2020,
21_VN,2020,
01_AUS,2021,
02_BD,2021,
03_CDA,2021,
04_CHL,2021,
05_PRC,2021,
06_HKC,2021,
07_INA,2021,
08_JPN,2021,
09_ROK,2021,
10_MAS,2021,
11_MEX,2021,
