Economy,Year,GDP,SteelConsumption,Population
20_USA,2013.0,16995.171638175918,106300000.0,315.536
21_VN,2013.0,484.40944466713285,13685000.0,91.49700000000001
01_AUS,2014.0,1078.497830754182,7142000.0,23.474
03_CDA,2014.0,1613.0296847757104,17527000.0,35.605
04_CHL,2014.0,411.9345948633689,3031000.0,17.614
05_PRC,2014.0,18340.860791136,739980000.0,1390.11
06_HKC,2014.0,402.13320325885337,2727000.0,7.194
07_INA,2014.0,2689.133107580351,15483000.0,255.13099999999997
08_JPN,2014.0,5007.308699948228,72900000.0,128.162
09_ROK,2014.0,1787.3210385476586,57834000.0,50.386
10_MAS,2014.0,770.6256311971382,11720000.0,30.228
11_MEX,2014.0,2175.758719185878,26073000.0,124.22200000000001
12_NZ,2014.0,163.72643969532464,1140000.0,4.567
14_PE,2014.0,376.88036629334505,3392000.0,30.973000000000003
15_RP,2014.0,694.6618307962407,8517000.0,100.102
